CPU,PerfIndex
Intel(R) Core(TM) i5-14500 (20 cores),11.42
Intel(R) Core(TM) i5-14500T (20 cores),11.42
Intel(R) Core(TM) i7-14700 (28 cores),11.42
13th Gen Intel(R) Core(TM) i9-13950HX (32 cores),11.34
13th Gen Intel(R) Core(TM) i7-13850HX (28 cores),11.34
13th Gen Intel(R) Core(TM) i5-13500T (20 cores),11.34
13th Gen Intel(R) Core(TM) i5-13600HX (20 cores),11.34
13th Gen Intel(R) Core(TM) i5-13500 (20 cores),11.34
13th Gen Intel(R) Core(TM) i9-13900 (32 cores),11.34
13th Gen Intel(R) Core(TM) i7-13700 (24 cores),11.34
13th Gen Intel(R) Core(TM) i5-13400 (16 cores),11.34
AMD EPYC 9374F 32-Core Processor                (4 cores),10.92
12th Gen Intel(R) Core(TM) i5-12500T (12 cores),10.92
12th Gen Intel(R) Core(TM) i9-12950HX (24 cores),10.92
12th Gen Intel(R) Core(TM) i5-12600HX (16 cores),10.92
12th Gen Intel(R) Core(TM) i5-12500 (12 cores),10.92
12th Gen Intel(R) Core(TM) i7-12850HX (24 cores),10.92
12th Gen Intel(R) Core(TM) i7-12700 (20 cores),10.92
12th Gen Intel(R) Core(TM) i5-12400 (12 cores),10.92
12th Gen Intel(R) Core(TM) i3-12100 (8 cores),10.92
12th Gen Intel(R) Core(TM) i7-12700T (20 cores),10.92
13th Gen Intel(R) Core(TM) i5-13420H (12 cores),10.58
13th Gen Intel(R) Core(TM) i7-13800H (20 cores),10.58
13th Gen Intel(R) Core(TM) i9-13900H (20 cores),10.58
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz (8 cores),10.58
13th Gen Intel(R) Core(TM) i7-13700H (20 cores),10.58
AMD Ryzen 5 PRO 5650GE with Radeon Graphics     (12 cores),10.5
13th Gen Intel(R) Core(TM) i5-1350P (16 cores),10.21
13th Gen Intel(R) Core(TM) i7-1370P (20 cores),10.21
13th Gen Intel(R) Core(TM) i7-1360P (16 cores),10.21
13th Gen Intel(R) Core(TM) i5-1340P (16 cores),10.21
12th Gen Intel(R) Core(TM) i7-12800H (20 cores),10.19
12th Gen Intel(R) Core(TM) i5-12450H (12 cores),10.19
12th Gen Intel(R) Core(TM) i7-12700H (20 cores),10.19
12th Gen Intel(R) Core(TM) i5-12500H (16 cores),10.19
Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz (4 cores),10.08
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz (4 cores),9.88
